Year,Region ,Total Population 16 Years and Older,Total Civilian Labor Force,Total Unemployed,Total Unemployment Rate,White Alone Population 16 Years and Older,White Alone Civilian Labor Force,White Alone Unemployed,White Alone Unemployment Rate,Black or African American Alone Population 16 Years and Older,Black or African American Alone Civilian Labor Force,Black or African American Alone Unemployed,Black or African American Alone Unemployment Rate,Asian Alone Population 16 Years and Older,Asian Alone Civilian Labor Force,Asian Alone Unemployed,Asian Alone Unemployment Rate,Hispanic or Latino Population 16 Years and Older,Hispanic or Latino Civilian Labor Force,Hispanic or Latino Unemployed,Hispanic or Latino Unemployment Rate
2012,Capital Region,890134,574530,46454,8.1,779818,509055,38019,7.5,56045,34059,4750,13.9,25041,14374,975,6.8,32404,19773,2258,11.4
2012,Central New York,635022,392961,32903,8.4,559133,351211,25616,7.3,42229,24568,4942,20.1,12301,5907,,,18307,9826,1237,12.6
2012,Finger Lakes,990283,635044,51051,8,837612,545336,37053,6.8,97766,55913,9962,17.8,22110,14077,,,51561,31311,4326,13.8
2012,Hudson Valley,1828916,1194255,110845,9.3,1370864,881830,75517,8.6,212721,137608,19104,13.9,78359,53660,3619,6.7,299056,211543,22836,10.8
2012,Long Island,2288621,1483637,106834,7.2,1797747,1151860,79393,6.9,207556,136434,15559,11.4,132815,87353,3680,4.2,340372,248315,16883,6.8
2012,Mohawk Valley,404829,241831,22647,9.4,371111,224014,20443,9.1,12430,5996,,,6900,3382,,,16277,8996,1425,15.8
2012,New York City,6743863,4309156,459922,10.7,3054324,1968046,146944,7.5,1624515,1015573,157147,15.5,914691,577386,53909,9.3,1845965,1159042,146663,12.7
2012,North Country,354887,198477,22068,11.1,319918,183814,18896,10.3,15546,4743,,,4205,2547,,,11932,3835,,
2012,Southern Tier,541803,320169,25180,7.9,492933,297520,22750,7.6,18249,7120,845,11.9,19982,10191,,,13618,8176,1908,23.3
2012,Western New York,1142896,709633,54148,7.6,969629,610439,39603,6.5,104837,61199,9355,15.3,25100,14415,,,41797,24117,3986,16.5
